time,seconds_elapsed,z,y,x
1763481163707660000,18.791659912109374,106.10340118408203,-292.81219482421875,106.18879699707031
1763481163717672200,18.801672119140626,106.5303955078125,-292.9342041015625,105.89599609375
1763481163727683800,18.811683837890627,106.1156005859375,-292.26318359375,106.22539520263672
1763481163737643800,18.821643798828124,106.64019775390625,-292.9219970703125,105.99359893798828
1763481163747672600,18.831672607421876,106.9573974609375,-292.6535949707031,106.60359954833984
1763481163757642500,18.841642578125,107.48199462890625,-293.25140380859375,106.09119415283203
1763481163767646700,18.851646728515625,107.26239776611328,-293.44659423828125,106.83539581298828
1763481163777642800,18.861642822265626,107.56739807128906,-294.1542053222656,106.9939956665039
1763481163787667000,18.8716669921875,108.09199523925781,-294.398193359375,107.17699432373047
1763481163797646300,18.881646240234375,108.51899719238281,-294.50799560546875,106.98179626464844
1763481163807692300,18.8916923828125,108.6166000366211,-295.0935974121094,107.43319702148438
1763481163817643000,18.90164306640625,109.01919555664062,-296.1305847167969,107.17699432373047
1763481163827642600,18.911642578125,109.64139556884766,-297.0090026855469,107.31119537353516
1763481163837644800,18.921644775390625,109.51940155029297,-298.619384765625,106.90859985351562
1763481163847643000,18.931642822265626,110.04399871826172,-298.5583801269531,107.40879821777344
1763481163857657600,18.94165771484375,111.62999725341797,-299.0951843261719,107.11599731445312
1763481163867671800,18.951671875,111.6177978515625,-299.900390625,107.3478012084961
1763481163877690600,18.961690673828127,111.38600158691406,-301.0227966308594,107.26239776611328
1763481163887647000,18.97164697265625,111.70320129394531,-301.2424011230469,107.64059448242188
1763481163897643000,18.98164306640625,112.43519592285156,-301.5596008300781,107.92119598388672
1763481163907643400,18.991643310546873,113.17939758300781,-301.8157958984375,107.92119598388672
1763481163917643300,19.001643310546875,113.38679504394531,-302.14520263671875,107.4209976196289
1763481163927642600,19.011642578125,113.16719818115234,-302.4136047363281,107.591796875
1763481163937664000,19.0216640625,113.26480102539062,-302.74298095703125,107.86019897460938
1763481163947663000,19.0316630859375,113.4843978881836,-302.4501953125,107.9822006225586
1763481163957653800,19.04165380859375,113.80159759521484,-303.0601806640625,107.37220001220703
1763481163967657000,19.051656982421875,114.1187973022461,-302.55999755859375,107.70159912109375
1763481163977659000,19.061658935546873,114.3261947631836,-303.1578063964844,108.04319763183594
1763481163987660000,19.071659912109375,114.10659790039062,-303.0845947265625,107.94559478759766
1763481163997647600,19.081647705078126,114.1187973022461,-302.98699951171875,107.95779418945312
1763481164007659800,19.09165966796875,114.00899505615234,-302.8406066894531,107.67720031738281
1763481164017645300,19.101645263671877,113.4843978881836,-302.6941833496094,107.48199462890625
1763481164027659000,19.111658935546874,113.9113998413086,-302.34039306640625,107.99440002441406
1763481164037669000,19.121669189453126,113.37459564208984,-302.852783203125,107.66500091552734
1763481164047660000,19.131659912109374,113.59420013427734,-302.2305908203125,108.28720092773438
1763481164057659600,19.14165966796875,113.59420013427734,-302.1940002441406,108.57999420166016
1763481164067659800,19.15165966796875,113.49659729003906,-301.6694030761719,108.32379913330078
1763481164077659400,19.161659423828127,113.2770004272461,-302.3038024902344,108.47019958496094
1763481164087653400,19.1716533203125,113.16719818115234,-302.3038024902344,108.47019958496094
1763481164097643800,19.181643798828127,114.22859954833984,-301.9621887207031,108.89720153808594
1763481164107660800,19.191660888671876,114.7531967163086,-302.55999755859375,108.28720092773438
1763481164117660200,19.20166015625,114.42379760742188,-303.1090087890625,108.43360137939453
1763481164127643100,19.21164306640625,114.43599700927734,-302.4989929199219,108.09199523925781
1763481164137683500,19.221683349609375,114.64339447021484,-303.0357971191406,107.3843994140625
1763481164147660000,19.231659912109375,114.1187973022461,-302.79180908203125,107.29899597167969
1763481164157668400,19.24166845703125,114.1187973022461,-302.74298095703125,106.9207992553711
1763481164167659500,19.251659423828126,114.64339447021484,-302.877197265625,107.20140075683594
1763481164177659400,19.261659423828124,113.37459564208984,-303.2676086425781,107.25019836425781
1763481164187660300,19.271660400390626,114.53359985351562,-303.63360595703125,107.05500030517578
1763481164197659600,19.28165966796875,114.31399536132812,-303.63360595703125,107.04280090332031
1763481164207659500,19.291659423828126,114.42379760742188,-303.5238037109375,107.25019836425781
1763481164217659600,19.30165966796875,113.67959594726562,-303.4871826171875,106.84759521484375
1763481164227658800,19.31165869140625,114.10659790039062,-303.40179443359375,107.54299926757812
1763481164237648000,19.32164794921875,114.09439849853516,-304.25579833984375,107.28679656982422
1763481164247660300,19.331660400390625,113.16719818115234,-302.6332092285156,107.18920135498047
1763481164257659400,19.341659423828126,114.21640014648438,-303.27978515625,106.96959686279297
1763481164267660300,19.351660400390625,113.25260162353516,-303.6457824707031,107.2136001586914
1763481164277659100,19.3616591796875,113.4843978881836,-302.9382019042969,107.75039672851562
1763481164287659500,19.371659423828124,113.78939819335938,-303.3407897949219,107.3478012084961
1763481164297672200,19.381672119140624,113.26480102539062,-303.38958740234375,107.04280090332031
1763481164307660300,19.391660400390624,113.37459564208984,-302.3769836425781,107.78699493408203
1763481164317659600,19.40165966796875,113.37459564208984,-302.852783203125,107.66500091552734
1763481164327659000,19.411658935546875,113.16719818115234,-302.8039855957031,107.37220001220703
1763481164337660400,19.421660400390625,113.6917953491211,-302.6697998046875,107.57959747314453
1763481164347660000,19.431659912109374,112.8499984741211,-303.0601806640625,106.76219940185547
1763481164357646300,19.441646240234373,113.67959594726562,-303.5359802246094,107.23799896240234
1763481164367659000,19.451658935546874,113.47219848632812,-303.5115966796875,106.75
1763481164377656600,19.461656494140627,113.67959594726562,-303.6824035644531,106.73780059814453
1763481164387659800,19.47165966796875,113.7771987915039,-304.7559814453125,106.18879699707031
1763481164397660400,19.481660400390624,114.2042007446289,-304.7438049316406,106.20099639892578
1763481164407659300,19.4916591796875,113.87479400634766,-304.87799072265625,105.89599609375
1763481164417659600,19.50165966796875,113.87479400634766,-304.9755859375,105.88379669189453
1763481164427659300,19.5116591796875,113.13059997558594,-305.1341857910156,105.46900177001953
1763481164437643000,19.52164306640625,113.33799743652344,-305.3659973144531,105.74959564208984
1763481164447660300,19.531660400390624,113.76499938964844,-305.7685852050781,105.44459533691406
1763481164457647600,19.541647705078127,113.86259460449219,-305.95159912109375,105.33480072021484
1763481164467660300,19.551660400390624,113.44779968261719,-305.30499267578125,105.46900177001953
1763481164477659600,19.56165966796875,113.33799743652344,-305.6831970214844,104.6637954711914
1763481164487659500,19.571659423828127,113.86259460449219,-305.9881896972656,105.04199981689453
1763481164497660000,19.581659912109377,113.5575942993164,-305.5856018066406,104.67599487304688
1763481164507644400,19.59164453125,113.97239685058594,-306.2077941894531,104.73699951171875
1763481164517660200,19.60166015625,113.44779968261719,-306.0736083984375,104.4563980102539
1763481164527659000,19.611658935546874,113.97239685058594,-306.0491943359375,104.46859741210938
1763481164537660200,19.62166015625,113.33799743652344,-306.2077941894531,104.05379486083984
1763481164547659800,19.63165966796875,113.65519714355469,-305.6831970214844,104.57839965820312
1763481164557659600,19.64165966796875,113.54539489746094,-306.35418701171875,104.33439636230469
1763481164567659000,19.651658935546877,113.54539489746094,-306.67138671875,104.0293960571289
1763481164577679600,19.6616796875,113.54539489746094,-306.79339599609375,103.72439575195312
1763481164587660300,19.671660400390625,113.75279998779297,-306.9642028808594,103.8219985961914
1763481164597648400,19.6816484375,114.06999969482422,-306.7323913574219,104.12699890136719
1763481164607660300,19.691660400390624,113.75279998779297,-306.76898193359375,103.83419799804688
1763481164617659600,19.70165966796875,114.38719940185547,-306.5494079589844,104.82239532470703
1763481164627658800,19.71165869140625,113.86259460449219,-306.80560302734375,104.30999755859375
1763481164637660400,19.721660400390626,113.96019744873047,-306.98858642578125,104.29779815673828
1763481164647659800,19.73165966796875,114.16759490966797,-307.22039794921875,104.67599487304688
1763481164657660200,19.74166015625,113.75279998779297,-306.98858642578125,104.39540100097656
1763481164667659800,19.75165966796875,114.70439910888672,-307.0617980957031,104.30999755859375
1763481164677643500,19.7616435546875,114.27739715576172,-306.8909912109375,104.30999755859375
1763481164687659800,19.77165966796875,114.27739715576172,-306.79339599609375,104.32219696044922
